class,org,org_type,pi_first,pi_sur,title,pclass,status,owner,end,grant,scheme,start,total
Surfaces & Interfaces,Procter & Gamble,COFUNDER,Ashley,Cadby,Functional Imaging: Atomic Force Imaging using probes functionalized with modified enzymes.,Catalysis & surfaces,Closed,EPSRC,1/30/2014,Research Grant,Standard Research,1/31/2011,198781.44
Computer Sys. & Architecture,University of Oxford,LEAD ORGANISATION,David,Wallom,myTrustedCloud: Towards a virtual private cloud,Info. & commun. Technol.,Closed,EPSRC,10/14/2011,Research Grant,Standard Research,2/1/2011,48980.52
Tools for the biosciences,Information Retrieval Facility,PROJECT PARTNER,Hamish,Cunningham,GATE Cloud Exploratory: Adapting the General Architecture for Text Engineering to Cloud Computing,"Tools, technologies & methods",Closed,EPSRC,10/14/2011,Research Grant,Standard Research,2/1/2011,71677.04
High Performance Computing,University of Edinburgh,LEAD ORGANISATION,Arthur,Trew,A PLatform for GPGPU Investigations,"Tools, technologies & methods",Closed,EPSRC,1/31/2012,Research Grant,Standard Research,2/1/2011,50000
Plasmas - Laser & Fusion,University of Warwick,LEAD ORGANISATION,Dirk,Gericke,Temperature Relaxation in Dense; Reacting Plasmas,Plasma physics,Closed,EPSRC,5/15/2012,Research Grant,First Grant - Revised 2009,2/1/2011,97402.4
Materials Characterisation,Durham University,LEAD ORGANISATION,Fernando,Dias,Charge Transfer States in D-A Excitonic Solar Cells: Photophysical Characterization and Loss Mechanisms for Charge Generation,Materials sciences,Closed,EPSRC,1/31/2013,Research Grant,First Grant - Revised 2009,2/1/2011,101401.31
Materials Synthesis & Growth,Queen Mary; University of London,LEAD ORGANISATION,Marina,Resmini,From Big to Small: domino-disassembled nanogels as new drug delivery vehicles,Materials sciences,Closed,EPSRC,1/31/2013,Research Grant,Standard Research,2/1/2011,173862.41
Analytical Science,University of Ulster,COLLABORATOR,Stephen,Forsythe,Smart Composites for Minimising Bacterial Biofilm Formation,"Tools, technologies & methods",Closed,EPSRC,4/30/2013,Research Grant,Standard Research,2/1/2011,10663.34
Analytical Science,University of Ulster,LEAD ORGANISATION,James,Davis,Smart Composites for Minimising Bacterial Biofilm Formation,"Tools, technologies & methods",Closed,EPSRC,4/30/2013,Research Grant,Standard Research,2/1/2011,190038.52
Biomaterials,University of Hull,LEAD ORGANISATION,Michael,Fagan,Multi-layered abstractions for PDEs,Atomic & molecular physics,Closed,EPSRC,7/31/2014,Research Grant,Standard Research,2/1/2011,86565.42
Medical Imaging,University of Hull,LEAD ORGANISATION,Michael,Fagan,Novel Asynchronous Algorithms and Software for Large Sparse Systems,"Tools, technologies & methods",Closed,EPSRC,7/31/2014,Research Grant,Standard Research,2/1/2011,77981.25
Drug Formulation & Delivery,School of Pharmacy,LEAD ORGANISATION,Sudax,Murdan,Novel drug-loaded patches for the treatment of nail diseases,Medical & health interface,Closed,EPSRC,10/31/2014,Research Grant,Standard Research,2/1/2011,320347.79
Materials Characterisation,The University of Manchester,LEAD ORGANISATION,Ursel,Bangert,Adatoms and defects in graphene,Materials sciences,Closed,EPSRC,8/10/2013,Research Grant,Standard Research,2/11/2011,81163.22
Vision & Senses - ICT appl.,ESRC,COFUNDER,Joshua,Solomon,Efficiency of Visual Statistics,Info. & commun. Technol.,Closed,EPSRC,2/13/2014,Research Grant,Standard Research,2/14/2011,432941.98
Magnetism/Magnetic Phenomena,Cardiff University,LEAD ORGANISATION,Yevgen,Melikhov,What Modelling of Magnetic Behaviour Can Bring into Economics,"Supercond, magn. &quant.fluids",Closed,EPSRC,2/21/2012,Research Grant,Discipline Hopping Awards,2/22/2011,28395.214
Climate & Climate Change,Ugandan Dept of Meteorology,PROJECT PARTNER,David,Grimes,TAMSAT rainfall climatology and time series for East Africa workshop,Climate & climate change,Closed,NERC,6/30/2011,Research Grant,Knowledge Exchange (FEC),3/1/2011,56481.12
Materials Characterisation,University of Bath,LEAD ORGANISATION,Simon,Bending,Celebration of 100 Years of Superconductivity; Support for an International Workshop in Bath,Materials sciences,Closed,EPSRC,8/31/2011,Research Grant,Standard Research,3/1/2011,16108.81
Analytical Science,University of Birmingham,LEAD ORGANISATION,Timothy,Dafforn,Enhanced detection of drugs of abuse using linear dichroism and high extinction dyes.,"Tools, technologies & methods",Closed,EPSRC,2/29/2012,Research Grant,Follow on Fund,3/1/2011,104735.74
Fundamentals of Computing,University of Warwick,LEAD ORGANISATION,Benjamin,Sach,Pattern matching algorithms for streaming data,Info. & commun. Technol.,Closed,EPSRC,6/30/2013,Fellowship,Postdoc Research Fellowship,3/1/2011,222288.22
Solar Technology,Brunel University,LEAD ORGANISATION,Jack,Silver,Enhanced solar energy harvesting in dye sensitized solar cells using nanophosphors and nano-structured optics (CONVERTED),Energy,Closed,EPSRC,2/28/2014,Research Grant,Technology Programme,3/1/2011,390995.96
Atmospheric Kinetics,The University of Manchester,LEAD ORGANISATION,Carl,Percival,Laboratory studies of Criegee radical reactions,Atmospheric phys. & chemistry,Closed,NERC,2/28/2014,Research Grant,Standard Grant (FEC),3/1/2011,352843.522
Climate & Climate Change,University of Bristol,LEAD ORGANISATION,Dan,Lunt,Testing ice sheet models and modelled estimates of Earth's climate sensitivity using Miocene palaeoclimate data,Climate & climate change,Closed,NERC,2/28/2014,Research Grant,Directed (Research Programmes),3/1/2011,41543.2
Environment & Health,Transport for London,PROJECT PARTNER,Frank,Kelly,TRAFFIC POLLUTION AND HEALTH IN LONDON,Medical & health interface,Closed,NERC,8/30/2015,Research Grant,Directed (Research Programmes),3/1/2011,1108104.12
Tectonic Processes,IGNS - Inst of Geological & Nuclear Sci,PROJECT PARTNER,Christine,Peirce,The Louisville Ridge-Tonga Trench collision: Implications for subduction zone dynamics,Geosciences,Active,NERC,8/31/2016,Research Grant,Standard Grant (FEC),3/1/2011,820406.29
Condensed Matter Physics,University of Oxford,LEAD ORGANISATION,Amalia,Coldea,Frontiers in research of emergent materials,"Supercond, magn. &quant.fluids",Active,EPSRC,2/28/2018,Research Grant,Standard Research,3/1/2011,85891.23
Condensed Matter Physics,University of Liverpool,PROJECT PARTNER,Amalia,Coldea,Emergent phenomena in novel correlated materials,"Supercond, magn. &quant.fluids",Active,EPSRC,5/31/2019,Fellowship,Career Acceleration Fellowship,3/1/2011,1171399.52
Drug Formulation & Delivery,University of St Andrews,LEAD ORGANISATION,Russell,Morris,Anti-Biofilm Materials Using Multifunctional MOFs,Medical & health interface,Closed,EPSRC,5/31/2012,Research Grant,Follow on Fund,3/5/2011,152889.27
Climate & Climate Change,University of Bristol,LEAD ORGANISATION,Michael,Kendall,Still or sparkling: Microseismic monitoring of CO2 injection at In Salah,Climate & climate change,Closed,NERC,9/6/2014,Research Grant,Partnership Research (FEC),3/7/2011,281174.78
Fundamentals of Computing,University of Leeds,LEAD ORGANISATION,Martin Edward,Dyer,Computational Counting,Info. & commun. Technol.,Closed,EPSRC,7/31/2014,Research Grant,Standard Research,3/9/2011,120520.02
Design & Testing Technology,Motor Insurance Repair Research Centre,PROJECT PARTNER,Behice Serpil,Acar,Business Development for SeatBeltPlus: Safety Seat Belt System for the Protection of Pregnant Car Occupants and their Fetuses.,Manufacturing,Closed,EPSRC,3/13/2012,Research Grant,Follow on Fund,3/14/2011,100585.52
Climate & Climate Change,University of Liverpool,LEAD ORGANISATION,Raj,Whitlock,The role of adaptation in determining resistance to climatic change in ecological communities,Climate & climate change,Closed,NERC,3/27/2014,Fellowship,Postdoctoral Fellow (FEC),3/28/2011,324814.26
Climate & Climate Change,The University of Manchester,LEAD ORGANISATION,Martin,Gallagher,Characterisation and Modelling of Climatically Relevant Primary Biogenic Ice Nuclei in the BEACHON Southern Rocky Mountain Project,Climate & climate change,Closed,NERC,9/30/2013,Research Grant,Standard Grant (FEC),3/31/2011,244499.97
Accelerator R&D,University of Glasgow,LEAD ORGANISATION,Bjoern,Seitz,External beam therapy using very high energy electrons generated by laser-plasma wake-field accelerators,Facility Deevelopment,Closed,STFC,3/30/2014,Research Grant,IPS (FEC),3/31/2011,123505.05
Large Scale Dynamics/Transport,Naval Postgraduate School; Monterrey CA,COLLABORATOR,Hilary,Weller,Adaptive Mesh Modelling of the Global Atmosphere,Atmospheric phys. & chemistry,Active,NERC,3/30/2016,Fellowship,Advanced Fellow (FEC),3/31/2011,446214.13
Materials Characterisation,Kyoto University,PROJECT PARTNER,antonio,garcia garcia,Search for novel mechanisms to increase the critical temperature of a superconductor,Materials sciences,Active,EPSRC,12/31/2016,Fellowship,Career Acceleration Fellowship,3/31/2011,521823.1
Quantum Fluids & Solids,Lancaster University,LEAD ORGANISATION,Peter Vaughan Elsmere,McClintock,Interdisciplinary Workshop on Fluctuations and Coherence: from Superfluids to Living Systems,"Supercond, magn. &quant.fluids",Closed,EPSRC,3/31/2012,Research Grant,Standard Research,4/1/2011,23261.36
Theoretical biology,University of Strathclyde,LEAD ORGANISATION,Steven,Webb,Modeling targeted delivery of biomimetic polymer vesicle gene therapy to cancer,"Tools, technologies & methods",Closed,EPSRC,5/31/2012,Research Grant,First Grant - Revised 2009,4/1/2011,96036.94
Beyond the Standard Model,University of Birmingham,COLLABORATOR,Lucio,Cerrito,QMUL/ATLAS Level-1 Calorimeter Trigger Upgrade,Particle physics - experiment,Closed,STFC,6/30/2012,Research Grant,PPRP,4/1/2011,89913.03
Acoustics,University of Cambridge,LEAD ORGANISATION,Sergey,Karabasov,Flap Noise,Mechanical engineering,Closed,EPSRC,8/1/2012,Research Grant,Standard Research,4/1/2011,246664.07
Large Scale Dynamics/Transport,Imperial College London,LEAD ORGANISATION,Colin,Cotter,Next Generation Weather and Climate Prediction: Atmospheric Model Dynamical Core,Atmospheric phys. & chemistry,Closed,NERC,3/31/2013,Research Grant,Directed (Research Programmes),4/1/2011,119343.232
Beyond the Standard Model,Faculty of Natural Sciences,COLLABORATOR,Peter,Hobson,GridPP4 Provision of support for the Brunel contribution to the London Tier 2,Particle physics - experiment,Closed,STFC,9/30/2013,Research Grant,Standard (FEC),4/1/2011,204072.35
Biomedical neuroscience,University of Bristol,LEAD ORGANISATION,Krasimira,Tsaneva-Atanasova,Control-based Continuation of Solutions and Bifurcations in Dynamic-Clamp-Constructed Hybrid Bursting Systems,Medical & health interface,Closed,EPSRC,9/30/2013,Research Grant,First Grant - Revised 2009,4/1/2011,88546.17
Beyond the Standard Model,Imperial College London,LEAD ORGANISATION,David,Colling,GridPP4: The UK Grid for Particle Physics,Particle physics - experiment,Closed,STFC,9/30/2013,Research Grant,Standard (FEC),4/1/2011,662002.66
Beyond the Standard Model,Lancaster University,LEAD ORGANISATION,Roger,Jones,GridPP4: The UK Grid for Particle Physics,Particle physics - experiment,Closed,STFC,9/30/2013,Research Grant,Standard (FEC),4/1/2011,244462.09
Beyond the Standard Model,The University of Manchester,LEAD ORGANISATION,Stefan,Soldner-Rembold,The UK Grid for Particle Physics,Particle physics - experiment,Closed,STFC,9/30/2013,Research Grant,Standard (FEC),4/1/2011,181828.39
Beyond the Standard Model,University of Sheffield,LEAD ORGANISATION,Davide,Costanzo,GridPP4 system administrator,Particle physics - experiment,Closed,STFC,9/30/2013,Research Grant,Standard (FEC),4/1/2011,79690.37
Cosmology,University of California Santa Cruz (UCSC),COLLABORATOR,Carlos,Frenk,The Formation of Cosmic Structure: 2011-2016,Particle astrophysics,Closed,STFC,3/31/2014,Research Grant,Standard (FEC),4/1/2011,2111471.56
Instrumentation Eng. & Dev.,University of Liverpool,LEAD ORGANISATION,James,Bradley,Micro-PADI sources for applications in 2-D chemical imaging,Chemical measurement,Closed,EPSRC,3/31/2014,Research Grant,Standard Research,4/1/2011,340122.13
Materials Characterisation,University College London,LEAD ORGANISATION,Richard,Catlow,Semiconductor nanocrystals for solar cells: Tuning shape; size and interface effects,Materials sciences,Closed,EPSRC,3/31/2014,Research Grant,Standard Research,4/1/2011,408698.73
Materials Synthesis & Growth,Durham University,LEAD ORGANISATION,Andy,Monkman,High triplet energy polymers for blue phosphorescent; solution-processable multilayer PLEDs to develop solid-state lighting,Materials sciences,Closed,EPSRC,3/31/2014,Research Grant,Standard Research,4/1/2011,605087.58
Palaeoenvironments,University of Bristol,LEAD ORGANISATION,Dan,Lunt,The Descent into the Icehouse,Climate & climate change,Closed,NERC,3/31/2014,Research Grant,Directed (Research Programmes),4/1/2011,154871.41
Diamond Light Source,Open University,LEAD ORGANISATION,Monica,Grady,Understanding Origins at the Open University (UO@OU),Facility Deevelopment,Closed,STFC,3/31/2014,Research Grant,Standard (FEC),4/1/2011,3447329.84
Electronic Devices & Subsys.,Liverpool John Moores University,LEAD ORGANISATION,Jian,Zhang,High permittivity dielectrics on Ge for end of Roadmap application,Info. & commun. Technol.,Closed,EPSRC,9/30/2014,Research Grant,Standard Research,4/1/2011,462589.39
Multiphase Flow,University of Sheffield,LEAD ORGANISATION,Shuisheng,He,Fundamental study of migration of supercritical carbon dioxide in porous media under conditions of saline aquifers,Process engineering,Closed,EPSRC,9/30/2014,Research Grant,Standard Research,4/1/2011,487941.06
Tectonic Processes,Japan Agency for Marine Earth Science an,PROJECT PARTNER,Nicola,De Paola,Fault lubrication during earthquake propagation in thermally unstable rocks,Geosciences,Closed,NERC,1/31/2015,Research Grant,Standard Grant (FEC),4/1/2011,566830.81
Optical Communications,University of Strathclyde,LEAD ORGANISATION,Martin David,Dawson,Gallium nitride enabled hybrid and flexible photonics,Info. & commun. Technol.,Closed,EPSRC,3/31/2015,Research Grant,Platform Grants,4/1/2011,1048345.2
Vision & Senses - ICT appl.,King's College London,LEAD ORGANISATION,Kaspar,Althoefer,REINS,Info. & commun. Technol.,Closed,EPSRC,3/31/2015,Research Grant,Standard Research,4/1/2011,205057.622
Materials Characterisation,The University of Manchester,LEAD ORGANISATION,Michael,Preuss,Irradiation Effects on Flow Localisation in Zirconium Alloys,Materials sciences,Closed,EPSRC,3/31/2015,Research Grant,Standard Research,4/1/2011,318895.71
Materials Synthesis & Growth,Durham University,LEAD ORGANISATION,Colin David,Bain,Optical Control of Emulsion Drops for Nanofluidics and Microfabrication,Materials sciences,Closed,EPSRC,9/30/2015,Research Grant,Standard Research,4/1/2011,1077634.49
Materials Synthesis & Growth,STFC - Laboratories,LEAD ORGANISATION,Andrew David,Ward,Optical Control of Emulsion Drops for Nanofluidics and Microfabrication,Materials sciences,Closed,EPSRC,9/30/2015,Research Grant,Standard Research,4/1/2011,41506.05
Climate & Climate Change,University of Bristol,PROJECT PARTNER,Jonathan,Gregory,Modelling ice-sheets; climate and sea-level during the last glacial cycle,Climate & climate change,Active,NERC,3/31/2017,Research Grant,Standard Grant (FEC),4/1/2011,387352.616
Climate & Climate Change,University of Cambridge,LEAD ORGANISATION,Nicholas James,Butterfield,Re-inventing the planet: the Neoproterozoic revolution in oxygenation; biogeochemistry and biological complexity,Climate & climate change,Closed,NERC,4/4/2015,Research Grant,Directed (Research Programmes),4/5/2011,120492.89
Nuclear structure,Japan Atomic Energy Agency (JAEA),COLLABORATOR,Andrei,Andreyev,Beta-delayed fission in the lead region,Nuclear physics,Closed,STFC,8/31/2012,Research Grant,Standard (FEC),4/25/2011,230713.64
Materials Characterisation,Rutherford Appleton Laboratory; Harwell,COLLABORATOR,Oscar,Cespedes,Phonon gated electronics: Changing the electrical transport in molecular devices with vibrations generated via magnetic power absorption,Materials sciences,Closed,EPSRC,4/26/2013,Research Grant,First Grant - Revised 2009,4/27/2011,111307.98
Beyond the Standard Model,The University of Manchester,LEAD ORGANISATION,Lucio,Piccirillo,Commercialization of a high performance SML series electron beam resist for nano lithography,Particle physics - experiment,Closed,STFC,4/30/2012,Research Grant,Mini IPS (fEC),5/1/2011,117470.4
